songName,artistName,lyrics
Pistol Packin' Mama - Single Version,"['Bing Crosby', 'The Andrews Sisters', 'Vic Schoen & His Orchestra']","Lay that pistol down, babe
Lay that pistol down
Pistol packing mama
Lay that pistol down
Oh, drinking beer in a cabaret
Was I having fun
Until one night she caught me right
And now I'm on the run
Oh, lay that pistol down, babe
Lay that pistol down
Pistol packing mama
Lay that pistol down
Oh, I'll sing you every night Bing
And I'll woo you every day
I'll be your regular mama
And I'll put that gun away
Oh, lay that pistol down, babe
Lay that pistol down
Pistol packing mama
Lay that thing down
Before it goes off
And hurts somebody
Oh, she kicked out my windshield
And she hit me over the head
She cussed and cried and said I lied
And she wished that I was dead
Oh, lay that pistol down, babe
Lay that pistol down
Pistol packing mama
Lay that pistol down
We're three tough gals
From deep down Texas way
We got no pals
They don't like the way we play
We're a rough rooting tooting shooting trio
But you ought to see my sister Cleo
She's a terror make no error
But there ain't no nicer terror
Here's what we tell her
Lay that pistol down, babe
Lay that pistol down
Pistol packing mama
Lay that pistol down
Pappy made a batch of corn
The revenuers came
The drought was slow
So now they know
You can't do that to Mame
Oh, lay that pistol down, babe
Lay that pistol down
Pistol packing mama
Lay that pistol down
Oh, singing songs in a cabaret
Was I having fun
Until one night it didn't seem right
And now I'm on the run
Oh, lay that pistol down, babe
Lay that pistol down
Pistol packing mama
Lay that pistol down
Oh, pistol packing mama
Lay that pistol down"
Paper Doll,['John Mayer'],"Paper doll come try it on
And step out of that black chiffon
Here's a dress of gold and blue
Sure was fun being good to you

This one we made just for fall
And winter runs a bit too small
This mint green is new for spring
My love didn't cost a thing

You're like 22 girls in one
And none of them know what they're running from
Was it just too far to fall
For a little paper doll?

Fold a scarf, Moroccan red
And tie your hair behind your head
Strap into some heels that hurt
You shoulda kept my undershirt

You're like 22 girls in one
And none of them know what they're running from
Was it just too far to fall
For a little paper doll?

Cut the cord and pull some strings
And make yourself some angel wings
And if those angel wings don't fly
Someone's gonna paint you another sky

'Cause you're like 22 girls in one
And none of them know what they're running from
Was it just too far to fall
Was it just too far to fall"
I've Heard That Song Before,['Harry James'],"It seems to me I've heard that song before
It's from an old familiar score
I know it well, that melody
It's funny how a theme recalls a favorite dream
A dream that brought you so close to me
I know each word because I've heard that song before
The lyrics said ""Forever more""
Forever more's a memory
Please have them play it again
And I'll remember just when
I heard that lovely song before"
You'll Never Know,['Dick Haymes'],"You'll never know just how much I miss you
You'll never know just how much I care
And if I tried, I still couldn't hide my love for you
You ought to know or haven't I told you so
A million or more times?

You went away and my heart went with you
I speak your name in my every prayer
If there is some other way to prove that I love you
I swear I don't know how
You'll never know if you don't know now

You went away and my heart went with you
I speak your name in my every prayer
If there is some other way to prove that I love you
I swear I don't know how
You'll never know if you don't know now
You'll never know if you don't know now"
"Sunday, Monday Or Always",['Jimmy Scott'],"Oh, won't you tell me when
We will meet again
Sunday, Monday or always
If you're satisfied
I'll be at your side
Sunday, Monday or always
No need to tell me now
What makes the world go 'round
When at the sight of you
My heart begins to pound and pound
And what am I to do
Can't I be with you
Sunday, Monday or always
Oh, won't you tell me when
We will meet again
Sunday, Monday or always
If you're satisfied
I'll be at your side
Sunday, Monday or always
No need to tell me now
What makes the world go 'round
When at the sight of you
My heart begins to pound, pound, pound
What am I to do
Can't I be with you
Sunday, Monday or always"
My Heart Tells Me (with Mark Warnow & The Hit Parade Orchestra),"['Frank Sinatra', 'Mark Warnow & The Hit Parade Orchestra']","My heart tells me this is just a fling
And yet you say our love means everything
Do you mean what you are saying
Or is this a little game you're playing?

My heart tells me I will cry again
Lips that kiss like yours could lie again
If I'm fool enough to see this through, will I
Be sorry if I do? Should I believe my heart or you?

My heart tells me I will cry again
'Cause lips that kiss like yours could lie again
If I'm fool enough to see this through, will I
Be sorry if I do? Should I believe my heart or you?"
In the Blue of Evening,['Asi Kaplan Jazz Band'],"In the blue of evening when you appear close to me, dear one
There in the dusk we'll share a dream reverie
In the blue of evening while crickets call and stars are falling
There 'neath the midnight sky you'll come to me
In the shadows of the night we'll stand, I'll touch your hand
And then, softly as your lovely eyes entreat, our lips will meet again
In the blue of evening, night winds above whisper I love you
There will we find romance in the blue of evening"
Taking A Chance On Love - Rechanneled Stereo Version,"['Benny Goodman', 'Label Copy Conversion/Sony Music Special Products Unknown']","Here I go again, I hear those trumpets blow again.
All aglow again, takin' a chance on love.
Here I slide again, about to take that ride again.
Starry-eyed again, takin' a chance on love.
I thought that cards were a frame-up, I never would try.
Now I'm taking that game up and the ace of hearts is high.
Things are mending now, I see a rainbow blending now.
We'll have a happy ending now, takin' a chance on love.
Here I slip again, about to take that trip again.
I got that grip again, takin' a chance on love.
Now I prove again that I can make life move again.
Um - I'm in the groove again, takin' a chance on love.
I walk around with a horse shoe, in clover I lie.
And brother rabbit of course you better kiss your, foot good-bye.
On that ball again I'm ridin' for a fall again.
I'm gonna give my all again takin' a chance on love."
Comin' in on a Wing and a Prayer,['Ry Cooder'],"One of our planes was missing 
Two hours overdue 
One of our planes was missing 
With all its gallant crew 
The radio sets were humming 
We waited for a word 
Then a noise broke 
Through the humming and this is what we heard 

Comin' in on a wing and a prayer 
Comin' in on a wing and a prayer 
Though there's one motor gone 
We can still carry on 
Comin' in on a wing and a prayer 

What a show, what a fight, boys 
We really hit our target for tonight 
How we sing as we limp through the air 
Look below, there's our field over there 
With just one motor gone
We can still carry on 
Comin' in on a wing and a prayer 

Comin' in on a wing and a prayer 
Comin' in on a wing and a prayer 
With our full crew on board 
And our trust in the Lord 
We're comin' in on a wing and a prayer"
Why Don't You Fall in Love with Me,['Carroll Gibbons And The Savoy Hotel Orpheans'],"As long as you're not in love with anyone else,
Why don't you fall in love with me,
You're drivin' me crazy, baby, try to be gay
Will you tell me no, or will you tell me yea,
You gotta go overboard for someone someday
Believe it or not, it's bound to be
As long as you're not in love with anyone else,
Why don't you fall in love with me,"
