songName,artistName,lyrics
Just a Baby's Prayer at Twilight,['Henry Burr'],"(Verse)
I've heard the prayers of mothers
Some of them old and gray
I've heard the prayers of others
For those who went away
Oft times a prayer will teach one
The meaning of goodbye
I've felt the pain of each one
But this one made me cry

(Pre-Chorus)
Just a baby's prayer at twilight
When lights are low
Her baby's years, are filled with tears
There's mother there at twilight
Who's proud to know
Her precious little tot
Is Dad's forget-me-not
After saying ""Goodnight, Mama""
She climbs upstairs
Quite unaware
And says her prayer

(Chorus)
""Oh, kindly tell my daddy that he must take care""
That's a baby's prayer at twilight
For her daddy, over there

(Instrumental)

(Chorus)
""Oh, kindly tell my daddy that he must take care""
That's a baby's prayer at twilight
For her daddy, over there"
Rock-A-Bye Your Baby With A Dixie Melody,['Jerry Lewis'],"Rock-a-bye your baby with a Dixie melody –
When you croon
Croon a tune
From the heart of Dixie!

Just hang my cradle, mammy mine
Right on the Mason Dixon line
And swing it from Virginia
To Tennessee with all the love that's in ya!

Weep no more, weep no more, my lady
Sing that song again for me
So soft and low, just as though
You had me on your knee!

A million baby kisses, that I would deliver
The minute that you sing the Swanee River –
Rock-a-bye your rock-a-bye baby with a Dixie melody!

Oh, weep no more, my lady
Sing that song again for me
So soft and low
Just as though
You had me on your knee!

A million baby kisses, that I would deliver
The minute that you sing the Swanee River –
Rock-a-bye your rock-a-bye baby with a Dixie melody!"
I'm Always Chasing Rainbows - Single Version,['Judy Garland'],"I'm always chasing rainbows
Watching clouds drifting by
My schemes are just like all my dreams
Ending in the sky
Some fellows look and find the sunshine
I always look and find the rain
Some fellows make a winning sometime
I never even make a gain, believe me
I'm always chasing rainbows
Waiting to find a little bluebird in vain
Some fellows look and find the sunshine
But I always look and find the rain
Some fellows make a winning sometime
I never even make a gain, believe me
I'm always chasing rainbows
Waiting to find a little bluebird in vain"
Oh! How I Hate to Get Up in the Morning,['Matt Cherne'],"The other day I chanced to meet a soldier friend of mine,
he'd been in camp for sevral weeks and he was looking fine;
His muscles had developed and his cheeks were rosy red,
I asked him how he liked the life, and this is what he said:
Oh! how I hate to get up in the morning,
Oh! how Id love to remain in bed;
For the hardest blow of all, is to hear the bugler call;
you've got to get up, you've got to get up, you've got to get up this morning!
Some day I'm going to murder the bugler,
Some day they're going to find him dead;
Ill amputate his reveille, and step upon it heavily,
And spend the rest of my life in bed.
Oh! how I hate to get up in the morning,
Oh! how Id love to remain in bed;
For the hardest blow of all, is to hear the bugler call;
you've got to get up, you've got to get up, you've got to get up this morning!
Oh! boy the minute the battle is over,
Oh! boy the minute the foe is dead;
I'll put my uniform away, and move to Philadelphia,
And spend the rest of my life in bed.
A bugler in the army is the luckiest of men,
He wakes the boys at five and then goes back to bed again;
He doesn't have to blow again until the afternoon,
If evry thing goes well with me I'll be a bugler soon.
Oh! how I hate to get up in the morning,
Oh! how Id love to remain in bed;
For the hardest blow of all, is to hear the bugler call;
you've got to get up, you've got to get up, you've got to get up this morning!
Some day I'm going to murder the bugler,
Some day they're going to find him dead;
Ill amputate his reveille, and step upon it heavily,
And spend the rest of my life in bed.
Oh! how I hate to get up in the morning,
Oh! how Id love to remain in bed;
For the hardest blow of all, is to hear the bugler call;
you've got to get up, you've got to get up, you've got to get up this morning!
Oh! boy the minute the battle is over,
Oh! boy the minute the foe is dead;
I'll put my uniform away, and move to Philadelphia,
And spend the rest of my life in bed."
"Hail, Hail the Gang's All Here",['Frank 88 Malone'],"Well the devil's nipping at your heels and this time it's for real
A lonely hunger starts to gnaw as you wish away the pain
Of another desperate dead end day forever filled with sadness
To forget about the pain you take your bottle, drink your grave

[Chorus]
Singing Hail, Hail, the Gangs All Here
Leave your worries at the door boy, they're not going anywhere
Hail, hail the gang's all here
When the going gets tough, I know my friends will still be there
Well you're walking down the road and the wind is in your face
You're down and out and the unemployment line's a mile long
The money in your pocket may not get you through the day
But cheer up son I know a place where mugs like us belong

[Chorus]
Pick your heart up off the ground though I'm sure it weights a ton
You're no better or no worse than any mothers son
Though you're up against all odds and you're backed against the wall
You recall the cheer, ""The Gang's All Here"" and shout!"
I'm All Bound 'Round with the Mason-Dixon Line,['Rosy McHargue & Friends'],"My daddy courted my Mammy, away down South; 
they married in Alabammy, away down South; 
and when I came into this world, old Dixie gave me birth, 
that's why I claim that Dixie is the finest place on earth. 
They brought me up in sunny Caroline, 
and they just planted Dixie in the heart of mine.

Last night I lay awake thinking of Dixie land; 
thinking of Abraham Lincoln, and Dixie land; 
he surely loved the stars and stripes, the Southern and the North, 
and his poor heart was broken when the loyal sons marched forth. 
Why no one loved old Dixie more than he, 
excepting that it might have been poor little me.

I'm all abound round with the Mason Dixon Line; 
it's pulling me, back where I used to be; 
when I was younger I knew every lane. 
Now I hunger to be once again; 
back where the robin keeps throbbing pretty melodies; 
and when I'm all bound round with a pair of loving arms, 
Oh! mother mine! I'll know I'm in Caroline; 
I've read a lot about Heaven, but give me Dixie all the time; 
for I've found that I'm bound, bound all around, with the Mason Dixon Line.
My daddy courted my Mammy, away down South; 
they married in Alabammy, away down South; 
and when I came into this world, old Dixie gave me birth, 
that's why I claim that Dixie is the finest place on earth. 
They brought me up in sunny Caroline, 
and they just planted Dixie in the heart of mine.

Last night I lay awake thinking of Dixie land; 
thinking of Abraham Lincoln, and Dixie land; 
he surely loved the stars and stripes, the Southern and the North, 
and his poor heart was broken when the loyal sons marched forth. 
Why no one loved old Dixie more than he, 
excepting that it might have been poor little me.

I'm all abound round with the Mason Dixon Line; 
it's pulling me, back where I used to be; 
when I was younger I knew every lane. 
Now I hunger to be once again; 
back where the robin keeps throbbing pretty melodies; 
and when I'm all bound round with a pair of loving arms, 
Oh! mother mine! I'll know I'm in Caroline; 
I've read a lot about Heaven, but give me Dixie all the time; 
for I've found that I'm bound, bound all around, with the Mason Dixon Line.
"
"Hello Central, Give Me No Man's Land (World War I Song) (1918)",['Al Jolson'],"When the gray shadows creep
And the world is asleep
In the still of the night
Baby climbs down a flight
First she looks all around
Without making a sound
Then baby toddles up to the telephone
And whispers in a baby tone

""Hello, Central, give me No Man's Land
My Daddy's there, my Mama told me;
She tip-toed off to bed
After my prayers were said;
Don't ring when you get the number
Or you'll disturb Mama's slumber

I'm afraid to stand here at the 'phone
'Cause I'm alone
So won't you hurry;
I want to know why Mama starts to weep
When I say, 'Now I lay me down to sleep'
Hello, Central, give me No Man's Land""

""Hello, Central, give me No Man's Land
My Daddy's there, my Mama told me;
She tip-toed off to bed
After my prayers were said;
Don't ring when you get the number
Or you'll disturb Mama's slumber

I'm afraid to stand here at the 'phone
'Cause I'm alone
So won't you hurry;
I want to know why Mama starts to weep
When I say, 'Now I lay me down to sleep'
Hello, Central, give me No Man's Land"""
Over There (Par là-bas),"['George M. Cohan', 'Enrico Caruso', 'Josef Pasternack']","Johnnie, get your gun,
Get your gun, get your gun,
Take it on the run,
On the run, on the run.
Hear them calling, you and me,
Every son of liberty.
Hurry right away,
No delay, go today,
Make your daddy glad
To have had such a lad.
Tell your sweetheart not to pine,
To be proud her boy's in line. 

Over there, over there,
Send the word, send the word over there -
That the Yanks are coming,
The Yanks are coming,
The drums rum-tumming
Everywhere.
So prepare, say a prayer,
Send the word, send the word to beware.
We'll be over, we're coming over,
And we won't come back till it's over
Over there.

Johnnie, get your gun,
Get your gun, get your gun,
Johnnie show the Hun
Who's a son of a gun.
Hoist the flag and let her fly,
Yankee Doodle do or die.
Pack your little kit,
Show your grit, do your bit.
Yankee to the ranks,
From the towns and the tanks.
Make your mother proud of you,
And the old Red, White and Blue. 

Over there, over there,
Send the word, send the word over there -
That the Yanks are coming,
The Yanks are coming,
The drums rum-tumming
Everywhere.
So prepare, say a prayer,
Send the word, send the word to beware.
We'll be over, we're coming over,
And we won't come back till it's over
Over there."
Tiger Rag,"['The Original Dixieland Five', 'Nick LaRocca']","Hold that tiger
Hold that tiger
Hold that tiger
Hold that tiger
Hold that tiger
Hold that tiger
Hold that tiger

Where's that tiger?
Where's that tiger?
Where's that tiger?
Where's that tiger?
Where's that tiger?
Where's that tiger?
Where's that tiger?"
Say a Prayer for Our Boys Over There (with Henry Burr) [Recorded 1918],['The Peerless Quartet'],"Say a prayer for the boys over there
When they play the Star Spangled Banner
Picture them by the dawn's early light
And ask the Lord to watch over them each night.

Lift your eyes as you silently rise
When they play the Star Spangled Banner
As the song of freedom fills the air
Say a prayer for the boys over there.

All of us are working hand in hand
We're working to preserve this wonderous land
But there is something more we all can do
That will help to bring our loved ones safely through.

Say a prayer for the boys over there
When they play the Star Spangled Banner
Picture them by the dawn's early light
And ask the Lord to watch over them each night.

Lift your eyes as you silently rise
When they play the Star Spangled Banner
As the song of freedom fills the air
Say a prayer for the boys over there."
